Date,TagBased,UserId,Id,Class,Name
2011-10-11T19:25:16.397,False,3,1,3,Autobiographer
2011-10-11T19:30:16.420,False,6,2,3,Autobiographer
2011-10-11T19:35:16.350,False,13,3,3,Autobiographer
2011-10-11T19:40:16.373,False,27,4,3,Autobiographer
2011-10-11T19:45:16.427,False,16,5,3,Autobiographer
2011-10-11T19:50:24.703,False,31,7,3,Student
2011-10-11T19:50:24.717,False,5,8,3,Supporter
2011-10-11T19:50:24.717,False,12,9,3,Supporter
2011-10-11T19:50:24.780,False,12,10,3,Teacher
2011-10-11T19:55:24.133,False,38,11,3,Autobiographer
2011-10-11T20:05:24.537,False,5,13,3,Student
2011-10-11T20:05:24.537,False,12,14,3,Student
2011-10-11T20:10:24.233,False,20,16,3,Autobiographer
2011-10-11T20:10:24.637,False,20,17,3,Supporter
2011-10-11T20:10:24.700,False,5,18,3,Teacher
2011-10-11T20:20:31.877,False,1,19,3,Autobiographer
2011-10-11T20:30:31.923,False,45,20,3,Autobiographer
2011-10-11T20:35:32.333,False,16,21,3,Supporter
2011-10-11T20:35:32.333,False,45,22,3,Supporter
2011-10-11T20:45:31.943,False,55,23,3,Autobiographer
2011-10-11T21:15:41.287,False,51,24,3,Autobiographer
2011-10-11T21:15:41.503,False,51,25,3,Supporter
2011-10-11T21:15:41.520,False,45,26,3,Teacher
2011-10-11T21:55:54.840,False,69,29,3,Supporter
2011-10-11T22:00:54.927,False,12,30,3,Self-Learner
2011-10-11T22:00:54.987,False,65,31,3,Supporter
2011-10-11T22:30:58.590,False,62,32,3,Autobiographer
2011-10-11T22:30:58.963,False,62,33,3,Supporter
2011-10-11T22:35:58.597,False,4,34,3,Autobiographer
2011-10-11T22:35:58.597,False,73,35,3,Autobiographer
2011-10-11T22:40:58.603,False,68,36,3,Autobiographer
2011-10-11T22:51:03.220,False,62,37,3,Student
2011-10-11T22:51:03.220,False,66,38,3,Student
2011-10-11T22:51:03.267,False,31,39,3,Teacher
2011-10-11T22:56:02.993,False,54,40,3,Autobiographer
2011-10-11T22:56:03.480,False,16,41,3,Student
2011-10-11T22:56:03.493,False,54,42,3,Supporter
2011-10-11T22:56:03.527,False,20,43,3,Teacher
2011-10-11T23:06:03.337,False,46,44,3,Supporter
2011-10-11T23:11:04.297,False,73,45,3,Student
2011-10-11T23:21:08.320,False,65,46,3,Teacher
2011-10-11T23:21:08.320,False,73,47,3,Teacher
2011-10-11T23:26:08.063,False,16,48,3,Editor
2011-10-11T23:31:08.053,False,31,49,3,Editor
2011-10-11T23:31:08.367,False,73,50,3,Supporter
2011-10-11T23:36:10.217,False,16,51,3,Teacher
2011-10-11T23:51:18.397,False,66,52,3,Supporter
2011-10-11T23:56:17.950,False,65,53,3,Editor
2011-10-12T00:16:18.310,False,4,54,3,Supporter
2011-10-12T00:21:23.043,False,73,55,3,Self-Learner
2011-10-12T00:36:23.220,False,49,56,3,Teacher
2011-10-12T00:56:28.460,False,80,57,3,Autobiographer
2011-10-12T02:11:42.287,False,30,58,3,Supporter
2011-10-12T02:21:48.487,False,64,59,3,Autobiographer
2011-10-12T02:31:48.523,False,85,60,3,Autobiographer
2011-10-12T02:46:49.157,False,64,61,3,Supporter
2011-10-12T03:47:01.460,False,30,62,3,Teacher
2011-10-12T03:52:06.243,False,10,63,3,Analytical
2011-10-12T03:52:06.400,False,45,64,3,Critic
2011-10-12T04:02:07.303,False,17,65,3,Autobiographer
2011-10-12T04:17:07.327,False,59,66,3,Autobiographer
2011-10-12T04:17:07.467,False,59,67,3,Critic
2011-10-12T04:22:12.620,False,10,68,3,Autobiographer
2011-10-12T05:22:29.027,False,94,70,3,Autobiographer
2011-10-12T05:22:29.667,False,94,71,3,Supporter
2011-10-12T05:27:29.660,False,49,72,3,Supporter
2011-10-12T06:07:35.583,False,84,73,3,Autobiographer
2011-10-12T08:23:01.543,False,106,74,3,Supporter
2011-10-12T10:08:02.713,False,79,75,3,Autobiographer
2011-10-12T10:08:03.757,False,79,76,3,Supporter
2011-10-12T10:33:04.357,False,103,77,3,Supporter
2011-10-12T10:48:03.817,False,105,78,3,Supporter
2011-10-12T11:03:03.793,False,105,79,3,Teacher
2011-10-12T12:53:04.157,False,119,80,3,Autobiographer
2011-10-12T13:18:04.583,False,18,81,3,Supporter
2011-10-12T13:28:04.613,False,19,82,3,Supporter
2011-10-12T13:48:04.503,False,16,83,3,Scholar
2011-10-12T13:53:04.667,False,13,84,3,Supporter
2011-10-12T13:58:04.173,False,12,85,3,Editor
2011-10-12T14:58:04.030,False,30,86,3,Editor
2011-10-12T14:58:04.140,False,30,87,3,Organizer
2011-10-12T15:08:03.997,False,123,88,3,Autobiographer
2011-10-12T15:08:04.247,False,17,89,3,Supporter
2011-10-12T15:08:04.247,False,123,90,3,Supporter
2011-10-12T15:13:04.003,False,124,91,3,Autobiographer
2011-10-12T16:48:06.300,False,10,92,3,Supporter
2011-10-12T19:13:05.750,False,130,93,3,Autobiographer
2011-10-12T19:38:05.960,False,9,94,3,Supporter
2011-10-12T20:43:06.363,False,31,95,3,Nice Question
2011-10-12T20:43:06.537,False,59,96,3,Supporter
2011-10-12T21:03:06.677,False,43,97,3,Supporter
2011-10-12T21:48:06.260,False,59,98,3,Editor
2011-10-12T21:48:06.480,False,59,99,3,Organizer
2011-10-13T00:48:59.803,False,12,101,3,Commentator
2011-10-13T00:54:00.293,False,18,102,3,Student
2011-10-13T01:14:05.707,False,65,103,3,Student
2011-10-13T10:26:56.523,False,30,104,3,Nice Answer
2011-10-13T10:26:57.023,False,103,105,3,Teacher
2011-10-13T12:27:23.487,False,84,106,3,Critic
2011-10-13T12:27:24.127,False,84,107,3,Supporter
2011-10-13T16:03:13.460,False,103,108,3,Student
2011-10-13T17:23:36.467,False,16,109,3,Commentator
2011-10-13T19:39:08.847,False,19,110,3,Editor
2011-10-13T22:24:58.933,False,118,111,3,Supporter
2011-10-13T22:34:58.683,False,73,112,3,Nice Question
2011-10-13T23:25:18.930,False,62,113,3,Editor
2011-10-14T00:05:36.770,False,62,114,3,Teacher
2011-10-14T00:15:36.690,False,65,115,3,Scholar
2011-10-14T00:15:36.847,False,19,116,3,Teacher
2011-10-14T01:11:24.570,False,68,117,3,Supporter
2011-10-14T03:02:04.703,False,68,118,3,Teacher
2011-10-14T03:17:03.773,False,137,119,3,Autobiographer
