PostId,VoteTypeId,CreationDate,Id
2,2,2011-10-11T00:00:00.000,1
3,2,2011-10-11T00:00:00.000,2
5,6,2011-10-11T00:00:00.000,8
6,2,2011-10-11T00:00:00.000,9
5,2,2011-10-11T00:00:00.000,10
3,2,2011-10-11T00:00:00.000,11
1,2,2011-10-11T00:00:00.000,12
4,2,2011-10-11T00:00:00.000,13
6,2,2011-10-11T00:00:00.000,14
5,2,2011-10-11T00:00:00.000,15
5,6,2011-10-11T00:00:00.000,16
9,2,2011-10-11T00:00:00.000,18
1,2,2011-10-11T00:00:00.000,19
3,2,2011-10-11T00:00:00.000,20
8,2,2011-10-11T00:00:00.000,21
8,2,2011-10-11T00:00:00.000,22
1,2,2011-10-11T00:00:00.000,23
2,2,2011-10-11T00:00:00.000,24
9,2,2011-10-11T00:00:00.000,25
6,2,2011-10-11T00:00:00.000,26
3,2,2011-10-11T00:00:00.000,27
9,2,2011-10-11T00:00:00.000,28
6,2,2011-10-11T00:00:00.000,29
1,2,2011-10-11T00:00:00.000,30
2,2,2011-10-11T00:00:00.000,31
5,6,2011-10-11T00:00:00.000,41
17,2,2011-10-11T00:00:00.000,42
18,2,2011-10-11T00:00:00.000,43
18,2,2011-10-11T00:00:00.000,44
21,2,2011-10-11T00:00:00.000,45
20,2,2011-10-11T00:00:00.000,46
16,2,2011-10-11T00:00:00.000,47
12,2,2011-10-11T00:00:00.000,48
22,2,2011-10-11T00:00:00.000,49
25,2,2011-10-11T00:00:00.000,55
24,2,2011-10-11T00:00:00.000,56
24,2,2011-10-11T00:00:00.000,57
25,2,2011-10-11T00:00:00.000,58
27,2,2011-10-11T00:00:00.000,59
23,2,2011-10-11T00:00:00.000,60
24,2,2011-10-11T00:00:00.000,61
24,2,2011-10-12T00:00:00.000,62
25,2,2011-10-12T00:00:00.000,63
25,2,2011-10-12T00:00:00.000,64
26,2,2011-10-12T00:00:00.000,65
25,2,2011-10-12T00:00:00.000,66
27,2,2011-10-12T00:00:00.000,67
29,2,2011-10-12T00:00:00.000,70
30,2,2011-10-12T00:00:00.000,71
11,2,2011-10-12T00:00:00.000,73
2,2,2011-10-12T00:00:00.000,74
1,2,2011-10-12T00:00:00.000,75
9,2,2011-10-12T00:00:00.000,76
5,6,2011-10-12T00:00:00.000,77
23,6,2011-10-12T00:00:00.000,80
16,2,2011-10-12T00:00:00.000,81
22,2,2011-10-12T00:00:00.000,82
18,2,2011-10-12T00:00:00.000,83
3,2,2011-10-12T00:00:00.000,84
29,2,2011-10-12T00:00:00.000,85
31,2,2011-10-12T00:00:00.000,86
29,3,2011-10-12T00:00:00.000,87
30,3,2011-10-12T00:00:00.000,88
28,2,2011-10-12T00:00:00.000,89
3,2,2011-10-12T00:00:00.000,91
25,3,2011-10-12T00:00:00.000,92
27,3,2011-10-12T00:00:00.000,93
33,2,2011-10-12T00:00:00.000,97
31,2,2011-10-12T00:00:00.000,98
16,2,2011-10-12T00:00:00.000,99
33,2,2011-10-12T00:00:00.000,100
25,2,2011-10-12T00:00:00.000,101
33,2,2011-10-12T00:00:00.000,102
31,2,2011-10-12T00:00:00.000,103
30,2,2011-10-12T00:00:00.000,104
18,2,2011-10-12T00:00:00.000,105
31,2,2011-10-12T00:00:00.000,107
28,2,2011-10-12T00:00:00.000,108
13,2,2011-10-12T00:00:00.000,109
2,2,2011-10-12T00:00:00.000,110
26,2,2011-10-12T00:00:00.000,111
34,2,2011-10-12T00:00:00.000,112
16,2,2011-10-12T00:00:00.000,113
22,2,2011-10-12T00:00:00.000,114
18,2,2011-10-12T00:00:00.000,115
19,2,2011-10-12T00:00:00.000,116
16,2,2011-10-12T00:00:00.000,117
36,2,2011-10-12T00:00:00.000,118
17,2,2011-10-12T00:00:00.000,119
15,2,2011-10-12T00:00:00.000,120
14,2,2011-10-12T00:00:00.000,121
5,2,2011-10-12T00:00:00.000,122
4,2,2011-10-12T00:00:00.000,123
8,2,2011-10-12T00:00:00.000,124
7,2,2011-10-12T00:00:00.000,125
38,2,2011-10-12T00:00:00.000,126
16,2,2011-10-12T00:00:00.000,127
32,2,2011-10-12T00:00:00.000,128
32,2,2011-10-12T00:00:00.000,129
32,1,2011-10-12T00:00:00.000,130
24,2,2011-10-12T00:00:00.000,131
20,1,2011-10-12T00:00:00.000,132
38,2,2011-10-12T00:00:00.000,133
8,2,2011-10-12T00:00:00.000,134
2,2,2011-10-12T00:00:00.000,135
43,2,2011-10-12T00:00:00.000,136
3,2,2011-10-12T00:00:00.000,137
43,2,2011-10-12T00:00:00.000,138
3,2,2011-10-12T00:00:00.000,139
43,2,2011-10-12T00:00:00.000,140
8,2,2011-10-12T00:00:00.000,141
18,2,2011-10-12T00:00:00.000,142
38,2,2011-10-12T00:00:00.000,143
43,2,2011-10-12T00:00:00.000,144
18,2,2011-10-12T00:00:00.000,145
43,2,2011-10-12T00:00:00.000,146
3,2,2011-10-12T00:00:00.000,147
38,2,2011-10-12T00:00:00.000,148
14,2,2011-10-12T00:00:00.000,149
2,2,2011-10-12T00:00:00.000,150
1,2,2011-10-12T00:00:00.000,151
16,2,2011-10-12T00:00:00.000,152
22,2,2011-10-12T00:00:00.000,153
36,2,2011-10-12T00:00:00.000,154
18,2,2011-10-12T00:00:00.000,155
30,10,2011-10-12T00:00:00.000,156
43,2,2011-10-13T00:00:00.000,158
42,2,2011-10-13T00:00:00.000,159
44,2,2011-10-13T00:00:00.000,160
44,2,2011-10-13T00:00:00.000,161
44,2,2011-10-13T00:00:00.000,162
43,2,2011-10-13T00:00:00.000,163
21,2,2011-10-13T00:00:00.000,164
42,2,2011-10-13T00:00:00.000,165
3,2,2011-10-13T00:00:00.000,166
3,2,2011-10-13T00:00:00.000,167
43,2,2011-10-13T00:00:00.000,168
42,2,2011-10-13T00:00:00.000,169
45,2,2011-10-13T00:00:00.000,170
43,2,2011-10-13T00:00:00.000,171
46,2,2011-10-13T00:00:00.000,172
46,2,2011-10-13T00:00:00.000,174
45,2,2011-10-13T00:00:00.000,175
45,2,2011-10-13T00:00:00.000,177
48,2,2011-10-13T00:00:00.000,178
3,2,2011-10-13T00:00:00.000,179
43,2,2011-10-13T00:00:00.000,181
48,2,2011-10-13T00:00:00.000,182
44,2,2011-10-13T00:00:00.000,183
44,2,2011-10-13T00:00:00.000,184
31,2,2011-10-13T00:00:00.000,186
